pk_item_id,item,item_category
1,active_listening,skl
2,pure_mathematics,skl
3,reading_comprehension,skl
4,natural_science,skl
5,speaking,skl
6,writing,skl
7,active_learning,skl
8,critical_thinking,skl
9,learning_strategies,skl
10,monitoring,skl
11,complex_problem_solving,skl
12,management_of_financial_resources,skl
13,management_of_material_resources,skl
14,management_of_personal_resources,skl
15,time_management,skl
16,coordination,skl
17,instructing,skl
18,negotiation,skl
19,persuasion,skl
20,service_orientation,skl
21,social_perceptiveness,skl
22,judgment_and_decision,skl
23,systems_analysis,skl
24,systems_evaluation,skl
25,installation,skl
26,quality_control_analysis,skl
27,technology_design,skl
28,equipment_selection,skl
29,equipment_maintenance,skl
30,programming,skl
31,troubleshooting,skl
32,operations_monitoring,skl
33,repairing,skl
34,operation_and_control,skl
35,operations_analysis,skl
36,multitasking,abl
37,selective_attention,abl
38,problem_sensitivity,abl
39,fluency_of_ideas,abl
40,originality,abl
41,deductive_reasoning,abl
42,inductive_reasoning,abl
43,category_flexibility,abl
44,information_ordering,abl
45,perceptual_speed,abl
46,flexibility_of_closure,abl
47,speed_of_closure,abl
48,number_facility,abl
49,mathematical_reasoning,abl
50,spatial_orientation,abl
51,visualization,abl
52,written_expression,abl
53,oral_expression,abl
54,oral_comprehension,abl
55,written_comprehension,abl
56,memorization,abl
57,dynamic_flexibility,abl
58,gross_body_equilibrium,abl
59,extent_flexibility,abl
60,gross_body_coordination,abl
61,explosive_strength,abl
62,static_strength,abl
63,dynamic_strength,abl
64,trunk_strength,abl
65,stamina,abl
66,response_orientation,abl
67,control_precision,abl
68,multilimb_coordination,abl
69,rate_control,abl
70,arm_hand_steadiness,abl
71,finger_dexterity,abl
72,manual_dexterity,abl
73,speed_of_limb_movement,abl
74,wrist_finger_speed,abl
75,reaction_time,abl
76,speech_clarity,abl
77,auditory_attention,abl
78,speech_recognition,abl
79,sound_localization,abl
80,hearing_sensitivity,abl
81,far_vision,abl
82,glare_sensitivity,abl
83,night_vision,abl
84,depth_perception,abl
85,visual_color_discrimination,abl
86,peripheral_vision,abl
87,near_vision,abl
88,native_language,knw
89,history_and_archeology,knw
90,foreign_language,knw
91,philosophy_and_theology,knw
92,fine_arts,knw
93,administration_and_management,knw
94,economics_and_accounting,knw
95,customer_and_personal_service,knw
96,personnel_and_human_resources,knw
97,administrative,knw
98,sales_and_marketing,knw
99,communications_and_media,knw
100,telecommunications,knw
101,building_and_construction,knw
102,engineering_and_technology,knw
103,mechanical,knw
104,industrial_design,knw
105,computers_and_electronics,knw
106,education_and_training,knw
107,therapy_and_counseling,knw
108,medicine_and_dentistry,knw
109,public_safety_and_security,knw
110,law_and_government,knw
111,food_production,knw
112,production_and_processing,knw
113,geography,knw
114,chemistry,knw
115,applied_mathematics,knw
116,physics,knw
117,sociology_and_anthropology,knw
118,biology,knw
119,psychology,knw
120,transportation,knw
121,achievement_effort,stl
122,initiative,stl
123,persistence,stl
124,adaptability_flexibility,stl
125,self_control,stl
126,stress_tolerance,stl
127,attention_to_detail,stl
128,dependability,stl
129,integrity,stl
130,independence,stl
131,concern_for_others,stl
132,cooperation,stl
133,social_orientation,stl
134,analytical_thinking,stl
135,innovation,stl
136,leadership,stl
137,electronic_mail,ctx
138,face_to_face_discussions,ctx
139,letters_and_memos,ctx
140,public_speaking,ctx
141,telephone,ctx
142,contact_with_others,ctx
143,deal_with_physically_aggressive_people,ctx
144,deal_with_unpleasant_or_angry_people,ctx
145,frequency_of_conflict_situations,ctx
146,responsibility_for_outcomes_and_results,ctx
147,responsible_for_others_health_and_safety,ctx
148,coordinate_or_lead_others,ctx
149,deal_with_external_customers,ctx
150,work_with_work_group_or_team,ctx
151,spend_time_bending_or_twisting_the_body,ctx
152,spent_time_climbing_ladders_scaffolds_or_poles,ctx
153,spend_time_keeping_or_regaining_balance,ctx
154,spend_time_kneeling_crouching_stooping_or_crawling,ctx
155,spend_time_making_repetitive_motions,ctx
156,spend_time_sitting,ctx
157,spend_time_standing,ctx
158,spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls,ctx
159,spend_time_walking_and_running,ctx
160,cramped_work_space_awkward_positions,ctx
161,exposed_to_contaminants,ctx
162,exposed_to_whole_body_vibrations,ctx
163,extremely_bright_or_inadequate_lighting,ctx
164,sounds_noise_levels_are_distracting_or_uncomfortable,ctx
165,very_hot_or_cold_temperatures,ctx
166,exposed_to_disease_or_infections,ctx
167,exposed_to_hazardous_conditions,ctx
168,exposed_to_hazardous_equipment,ctx
169,exposed_to_high_places,ctx
170,exposed_to_minor_burns_cuts_bites_or_stings,ctx
171,exposed_to_radiation,ctx
172,wear_common_protective_or_safety_equipment,ctx
173,wear_specialized_protective_or_safety_equipment,ctx
174,in_a_enclosed_vehicle_or_equipment,ctx
175,in_an_open_vehicle_or_equipment,ctx
176,indoors_environmentally_controlled,ctx
177,indoors_not_environmentally_controlled,ctx
178,outdoors_exposed_to_weather,ctx
179,outdoors_under_cover,ctx
180,physical_proximity,ctx
181,level_of_competition,ctx
182,consequence_of_error,ctx
183,freedom_to_make_decisions,ctx
184,frequency_of_decision_making,ctx
185,impact_of_decisions_on_co_workers_or_company_results,ctx
186,duration_of_typical_work_week,ctx
187,pace_determined_by_speed_of_equipment,ctx
188,time_pressure,ctx
189,work_schedules,ctx
190,degree_of_automation,ctx
191,importance_of_being_exact_or_accurate,ctx
192,importance_of_repeating_same_tasks,ctx
193,structured_versus_unstructured_work,ctx
194,estimating_the_quantifiable_characteristics_or_information,act
195,identifying_objectives_actions_and_events,act
196,inspecting_equipment_structures_or_materials,act
197,getting_information,act
198,monitoring_processes_materials_or_surroundings,act
199,monitoring_and_controlling_resources,act
200,performing_administrative_activities,act
201,staffing_organizational_units,act
202,assisting_and_caring_for_others,act
203,communicating_with_people_outside_the_organization,act
204,communicating_with_supervisors_peers_or_subordinates,act
205,establishing_and_maintaining_interpersonal_relationships,act
206,interpreting_the_meaning_of_information_for_others,act
207,performing_for_or_working_directly_with_the_public,act
208,resolving_conflicts_and_negotiating_with_others,act
209,selling_or_influencing_others,act
210,coaching_and_developing_others,act
211,coordinating_the_work_and_activities_of_others,act
212,developing_and_building_teams,act
213,guiding_directing_and_motivating_subordinates,act
214,providing_consultation_and_advice_to_others,act
215,training_and_teaching_others,act
216,analysing_data_or_information,act
217,evaluating_information_to_determine_compliance_with_standards,act
218,judging_the_qualities_of_objects_services_or_people,act
219,processing_information,act
220,developing_objectives_and_strategies,act
221,making_decisions_and_solving_problems,act
222,organizing_planning_and_prioritizing_work,act
223,scheduling_work_and_activities,act
224,thinking_creatively,act
225,updating_and_using_relevant_knw,act
226,documenting_recording_information,act
227,drafting_laying_out_and_specifying_technical_devices_parts_and_equipment,act
228,repairing_and_maintaining_electronic_equipment,act
229,repairing_and_maintaining_mechanical_equipment,act
230,working_with_computers,act
231,controlling_machines_and_processes,act
232,handling_and_moving_objectives,act
233,operating_vehicles_mechanized_devices_or_equipment,act
234,performing_general_physical_activities,act
