factor,item,loading,crossloadings
factor1,skl_negotiation,0.6206190153813744,1.0451732744585778
factor1,skl_persuasion,0.6126968520816716,1.1389345760265264
factor1,abl_speech_clarity,0.5123179326156978,1.2578956995426798
factor1,abl_speech_recognition,0.48772081795191424,1.0693149180212895
factor1,skl_active_listening,0.48726118788783296,1.3508114598225684
factor1,skl_social_perceptiveness,0.4817989644069811,1.4030713612175063
factor1,skl_speaking,0.46430499284377946,1.4939686820471731
factor1,abl_oral_expression,0.44830827432069986,1.4304036339283965
factor1,skl_critical_thinking,0.43888077924591906,1.9171260161540706
factor1,abl_written_expression,0.4178641819632481,1.4416631103500015
factor1,abl_oral_comprehension,0.4116966956138052,1.673222991078037
factor1,skl_writing,0.40869288444621443,1.550421840129665
factor2,knw_industrial_design,0.8287758994670497,1.1082109925535253
factor2,knw_engineering_and_technology,0.7819479798173483,1.4034007333364196
factor2,knw_physics,0.7209395831582713,1.413041112698953
factor2,knw_building_and_construction,0.7125985154315356,0.8357169148656448
factor2,knw_mechanical,0.6874932351059947,1.0657019085872665
factor2,knw_production_and_processing,0.5495477013133774,0.5412557597046357
factor2,abl_visualization,0.4811417879326693,2.13977604598627
factor2,skl_quality_control_analysis,0.471701410980586,1.561343515354645
factor3,knw_medicine_and_dentistry,0.8026867194905861,0.5529764321817082
factor3,knw_biology,0.7521379397038136,0.8751913080839638
factor3,knw_therapy_and_counseling,0.7223766961209953,0.7113908296922481
factor3,knw_psychology,0.6621967505075371,1.1406324696068144
factor3,knw_chemistry,0.5718264419835881,1.103514052935126
factor3,skl_natural_science,0.5698345554451566,1.58087940135098
factor4,abl_night_vision,0.8705667204693254,0.40860758899249017
factor4,abl_peripheral_vision,0.8630264649636717,0.39308281795365085
factor4,abl_sound_localization,0.8172797283936414,0.5890078045411539
factor4,abl_glare_sensitivity,0.8109571586690584,0.43201505220140757
factor4,abl_spatial_orientation,0.8018627699973373,0.4893071195566996
factor4,knw_transportation,0.6341095007474579,0.37000116381878
factor4,abl_response_orientation,0.6156471316614063,0.8917520691165322
factor4,abl_rate_control,0.5917596539566236,0.6435635878707436
factor4,abl_reaction_time,0.548840585748046,0.8573859919416781
factor4,abl_depth_perception,0.45560591362222697,1.113759817140345
factor5,skl_management_of_material_resources,0.7105289605702466,1.4310209715269209
factor5,skl_management_of_personal_resources,0.6851997807956983,1.6275568262965083
factor5,skl_management_of_financial_resources,0.6663703414244918,1.13703510126633
factor5,knw_personnel_and_human_resources,0.6018205924987551,1.0853269648792523
factor5,skl_time_management,0.5511868948032648,1.8232265344874214
factor5,skl_coordination,0.49035599977257327,1.8730943807339777
factor5,skl_monitoring,0.4700064596686993,2.085795584679009
factor6,knw_history_and_archeology,0.8005761906968965,0.16509637685589695
factor6,knw_fine_arts,0.7154230169937337,-0.19722525619090503
factor6,knw_philosophy_and_theology,0.5798203022789205,0.5205712815483127
factor6,knw_sociology_and_anthropology,0.5762759738912272,0.9529704158809521
factor6,knw_geography,0.5136444153415332,0.8162518479487164
factor6,knw_education_and_training,0.477460206331063,1.794604604952442
factor6,skl_learning_strategies,0.4371998724760667,1.8962099868513964
factor6,knw_native_language,0.42777562873451563,1.1698105530040301
factor6,skl_instructing,0.3958908160195248,2.0249161141071768
factor7,skl_pure_mathematics,0.7648018441223221,1.1577574732839104
factor7,abl_number_facility,0.7550194903076337,0.9296641952647677
factor7,abl_mathematical_reasoning,0.7178426765290571,1.0718466917546459
factor7,knw_applied_mathematics,0.5892873578572886,1.1795593606304218
factor7,abl_memorization,0.42319914208765774,1.7787171304994744
factor8,knw_sales_and_marketing,0.7543283348582411,0.02487046194394582
factor8,knw_administration_and_management,0.5800541061950204,1.2962813994713271
factor8,knw_customer_and_personal_service,0.5327087764854704,0.5129543281410142
factor8,knw_economics_and_accounting,0.5306540738344978,0.16027022966868698
factor8,knw_communications_and_media,0.5193148352644356,0.6369567634260277
factor9,abl_hearing_sensitivity,0.6190142648245229,1.0688718933768984
factor9,abl_perceptual_speed,0.5893943989527566,1.7096047691468637
factor9,abl_flexibility_of_closure,0.5563841736487986,1.8011996149960328
factor9,abl_auditory_attention,0.5226058774270383,1.3901000519493394
factor9,abl_visual_color_discrimination,0.5058176461872181,1.5373432226574282
factor9,abl_selective_attention,0.5034019642665238,1.9621448113445767
factor9,skl_operations_monitoring,0.49446422262914663,1.3335670948321061
factor9,abl_speed_of_closure,0.4914630931096924,2.2035252505500806
factor9,abl_far_vision,0.4687225450935835,1.7133265282512145
factor9,abl_multitasking,0.46244127525245454,1.7031016023051702
factor10,abl_stamina,0.7411443031301077,-0.25393143949142183
factor10,abl_gross_body_coordination,0.7163155290279175,-0.18228697366455404
factor10,abl_gross_body_equilibrium,0.7144528395726745,0.20701116019065757
factor10,abl_dynamic_strength,0.6559121536885546,-0.18295741095818652
factor10,abl_static_strength,0.6375094401807626,-0.01841806128321355
factor10,abl_extent_flexibility,0.6300306547910219,0.0518446941542815
factor10,abl_trunk_strength,0.627944174256115,-0.2114738661699756
factor10,abl_explosive_strength,0.603321088383042,0.4303012941784743
factor10,abl_speed_of_limb_movement,0.5326914671842575,0.2102266841837669
factor10,abl_dynamic_flexibility,0.40651175491210795,0.01986797557425446
factor11,skl_repairing,0.7577366906641276,0.5597856923133526
factor11,skl_equipment_maintenance,0.7436637731390007,0.4512873454880376
factor11,skl_equipment_selection,0.726976151204495,0.8166848584712079
factor11,skl_installation,0.6238680004526018,0.6359051040093837
factor11,skl_troubleshooting,0.5845612568067928,1.104653080787717
factor12,knw_administrative,0.5579800268554684,0.05089247778893169
factor12,knw_computers_and_electronics,0.5421273954223801,0.9285361081815952
factor12,knw_telecommunications,0.4368841211605035,1.13836203466365
factor12,skl_reading_comprehension,0.43393002667180086,1.664027341837901
factor13,skl_programming,0.5339104794860552,0.6985534823178428
factor13,abl_inductive_reasoning,0.5326812406410049,1.848809323945557
factor13,skl_operations_analysis,0.5217176770350404,1.6621980543774177
factor13,abl_deductive_reasoning,0.5164521948665021,1.8787388620627445
factor13,skl_complex_problem_solving,0.5149700283311498,1.914133042686755
factor13,skl_judgment_and_decision,0.5080160754741485,1.9072298029796884
factor13,abl_information_ordering,0.5054567724403493,2.0906338455236995
factor13,abl_problem_sensitivity,0.47983977031749464,2.070350718657349
factor13,abl_fluency_of_ideas,0.46535408784504523,1.9428855183753113
factor13,abl_category_flexibility,0.456770951859094,1.8400553174032819
factor13,skl_technology_design,0.436260153086279,1.8046670564438214
factor13,skl_systems_analysis,0.43170100808887774,2.0247891995379814
factor13,skl_systems_evaluation,0.42991968759238136,2.1551006970102007
factor13,skl_active_learning,0.4248027249220425,1.8787451546414653
factor13,abl_originality,0.41704675834740224,1.9668724211026096
factor13,abl_written_comprehension,0.3891862103552556,1.5374051561130075
factor14,abl_arm_hand_steadiness,0.6673571713899331,-0.060807429599445406
factor14,abl_manual_dexterity,0.6520212783449948,-0.21683594668789702
factor14,abl_control_precision,0.646573476169803,0.23622556231566627
factor14,abl_wrist_finger_speed,0.564907042959302,0.4954856969324054
factor14,abl_finger_dexterity,0.5567688935462407,0.1432073516122686
factor14,abl_multilimb_coordination,0.5257561977775812,0.30540559129731504
factor14,skl_operation_and_control,0.4719908821964055,1.0110625720846467
