factor,factor_name,factor_abbv,nitems,item,loading,crossloadings,variance,purity_norm,relevance_norm
factor1,rhetoric,Rt,10,skl_negotiation,0.6206190153813744,1.0451732744585778,105.57251019869697,0.47812646705703393,0.14207325445358776
factor1,rhetoric,Rt,10,skl_persuasion,0.6126968520816716,1.1389345760265264,110.27656891754177,0.44074636872939615,0.12338729495079631
factor1,rhetoric,Rt,10,abl_speech_clarity,0.5123179326156978,1.2578956995426798,58.12680263995258,0.36011425824288046,0.05980261654941099
factor1,rhetoric,Rt,10,abl_speech_recognition,0.48772081795191424,1.0693149180212895,47.69156457450238,0.42039668075122266,0.07382282776014483
factor1,rhetoric,Rt,10,skl_active_listening,0.48726118788783296,1.3508114598225684,80.10928440185307,0.3167461074536909,0.05431444346880464
factor1,rhetoric,Rt,10,skl_social_perceptiveness,0.4817989644069811,1.4030713612175063,91.65269988388926,0.2955267409977429,0.050572862408908036
factor1,rhetoric,Rt,10,skl_speaking,0.46430499284377946,1.4939686820471731,91.94334659383739,0.255680762373994,0.037914697353827374
factor1,rhetoric,Rt,10,abl_oral_expression,0.44830827432069986,1.4304036339283965,68.86454451373375,0.27316746820058024,0.03745476956517298
factor1,rhetoric,Rt,10,abl_written_expression,0.4178641819632481,1.4416631103500015,132.39218892038355,0.2578367209290986,0.046267076122663515
factor1,rhetoric,Rt,10,skl_writing,0.40869288444621443,1.550421840129665,116.68295481281315,0.2144841854714488,0.030056997548152886
factor2,engineering,Eg,7,knw_industrial_design,0.8287758994670497,1.1082109925535253,363.11815327382766,0.5314740659121543,0.32556631955566034
factor2,engineering,Eg,7,knw_engineering_and_technology,0.7819479798173483,1.4034007333364196,407.421129980487,0.40574414715496765,0.20099147485839106
factor2,engineering,Eg,7,knw_physics,0.7209395831582713,1.413041112698953,254.99058524705458,0.37977278398542647,0.13930319720422335
factor2,engineering,Eg,7,knw_building_and_construction,0.7125985154315356,0.8357169148656448,389.54787176967443,0.5889380143189278,0.41406729410723464
factor2,engineering,Eg,7,knw_mechanical,0.6874932351059947,1.0657019085872665,473.1307954132019,0.4951636770781787,0.3225815332395966
factor2,engineering,Eg,7,knw_production_and_processing,0.5495477013133774,0.5412557597046357,284.21250975866286,0.6372460797044227,0.41408287926944765
factor2,engineering,Eg,7,skl_quality_control_analysis,0.471701410980586,1.561343515354645,206.1689685771904,0.2336319557215704,0.04740536260396962
factor3,health_science,Hs,6,knw_medicine_and_dentistry,0.8026867194905861,0.5529764321817082,332.2920548079303,0.7259944471220009,0.581136176066754
factor3,health_science,Hs,6,knw_biology,0.7521379397038136,0.8751913080839638,298.9075190218631,0.5889619205380412,0.3627389464856661
factor3,health_science,Hs,6,knw_therapy_and_counseling,0.7223766961209953,0.7113908296922481,398.69163514312316,0.6382363997607872,0.4919636727720355
factor3,health_science,Hs,6,knw_psychology,0.6621967505075371,1.1406324696068144,402.47769530785115,0.45831897646568454,0.2548930078904705
factor3,health_science,Hs,6,knw_chemistry,0.5718264419835881,1.103514052935126,288.6475921538783,0.4387429229139975,0.1978133294511437
factor3,health_science,Hs,6,skl_natural_science,0.5698345554451566,1.58087940135098,234.485954215835,0.26252527926881,0.06383399273360042
factor4,spatial_abilities,Sp,10,abl_night_vision,0.8705667204693254,0.40860758899249017,88.86343476148723,0.8040197452887407,0.36859234494138654
factor4,spatial_abilities,Sp,10,abl_peripheral_vision,0.8630264649636717,0.39308281795365085,116.02065943801823,0.8069549518743689,0.4242458293499174
factor4,spatial_abilities,Sp,10,abl_sound_localization,0.8172797283936414,0.5890078045411539,102.42350599279267,0.7181134397721182,0.3156728733140984
factor4,spatial_abilities,Sp,10,abl_glare_sensitivity,0.8109571586690584,0.43201505220140757,131.1679579580908,0.7735016609399206,0.4144648595429093
factor4,spatial_abilities,Sp,10,abl_spatial_orientation,0.8018627699973373,0.4893071195566996,152.46408173796024,0.7490971792757379,0.4190939867381064
factor4,spatial_abilities,Sp,10,knw_transportation,0.6341095007474579,0.37000116381878,211.378495255708,0.7312873480987215,0.4702814574381577
factor4,spatial_abilities,Sp,10,abl_response_orientation,0.6156471316614063,0.8917520691165322,244.4929578394807,0.5326982722775472,0.2683781090312271
factor4,spatial_abilities,Sp,10,abl_rate_control,0.5917596539566236,0.6435635878707436,223.58550002604207,0.6151540931749128,0.34224805495608807
factor4,spatial_abilities,Sp,10,abl_reaction_time,0.548840585748046,0.8573859919416781,288.1267197694407,0.5207727550578267,0.27844512146838846
factor4,spatial_abilities,Sp,10,abl_depth_perception,0.45560591362222697,1.113759817140345,175.35175216340298,0.3922523508487799,0.12323597343397985
factor5,management,Mn,4,skl_management_of_material_resources,0.7105289605702466,1.4310209715269209,156.85451018773932,0.3693360921567201,0.10333402348854279
factor5,management,Mn,4,skl_management_of_personal_resources,0.6851997807956983,1.6275568262965083,105.65174700282343,0.2877757635672199,0.05148706147656459
factor5,management,Mn,4,skl_management_of_financial_resources,0.6663703414244918,1.13703510126633,205.69344993201196,0.46117567712514,0.18449914341052515
factor5,management,Mn,4,knw_personnel_and_human_resources,0.6018205924987551,1.0853269648792523,269.48261604892735,0.4564549416544785,0.20687715662989883
factor6,arts_and_humanities,Ah,7,knw_history_and_archeology,0.8005761906968965,0.16509637685589695,131.43650105842542,0.8678080925592979,0.5222238725455703
factor6,arts_and_humanities,Ah,7,knw_fine_arts,0.7154230169937337,-0.19722525619090503,81.75080818026221,0.9696986435655031,0.5142460191130989
factor6,arts_and_humanities,Ah,7,knw_philosophy_and_theology,0.5798203022789205,0.5205712815483127,258.1337103117768,0.6559785317362627,0.4181700739069342
factor6,arts_and_humanities,Ah,7,knw_sociology_and_anthropology,0.5762759738912272,0.9529704158809521,291.12529153692964,0.49572032728791043,0.2536090566239108
factor6,arts_and_humanities,Ah,7,knw_geography,0.5136444153415332,0.8162518479487164,243.48895313883853,0.5229556275319037,0.25811940044845794
factor6,arts_and_humanities,Ah,7,knw_education_and_training,0.477460206331063,1.794604604952442,267.6243085069319,0.14999930079781604,0.02226345608166456
factor6,arts_and_humanities,Ah,7,knw_native_language,0.42777562873451563,1.1698105530040301,145.7956115661482,0.36141665098754006,0.09539813298735289
factor7,mathematics,Mt,4,skl_pure_mathematics,0.7648018441223221,1.1577574732839104,123.57648740057132,0.4897425139217006,0.16127047698607871
factor7,mathematics,Mt,4,abl_number_facility,0.7550194903076337,0.9296641952647677,117.9270606765791,0.569996307627309,0.2134038039538127
factor7,mathematics,Mt,4,abl_mathematical_reasoning,0.7178426765290571,1.0718466917546459,140.83431830575248,0.5040616085831872,0.18237815791735773
factor7,mathematics,Mt,4,knw_applied_mathematics,0.5892873578572886,1.1795593606304218,198.14004051463957,0.417206576472554,0.148197115222355
factor8,business,Bs,5,knw_sales_and_marketing,0.7543283348582411,0.02487046194394582,412.2745068907707,0.902355588490644,1
factor8,business,Bs,5,knw_administration_and_management,0.5800541061950204,1.2962813994713271,236.51760323250164,0.37090385508099927,0.1279692910954595
factor8,business,Bs,5,knw_customer_and_personal_service,0.5327087764854704,0.5129543281410142,223.2484559950839,0.6414598388384166,0.3718643184455113
factor8,business,Bs,5,knw_economics_and_accounting,0.5306540738344978,0.16027022966868698,302.8094867818303,0.7703555379515578,0.6246237471492689
factor8,business,Bs,5,knw_communications_and_media,0.5193148352644356,0.6369567634260277,152.7775450701627,0.5909512328389852,0.2610864808282419
factor9,perception,Pc,4,abl_hearing_sensitivity,0.6190142648245229,1.0688718933768984,71.36073532256209,0.4688246357294571,0.11230571128252424
factor9,perception,Pc,4,abl_auditory_attention,0.5226058774270383,1.3901000519493394,69.10479715302841,0.31529628012227856,0.04998539483837158
factor9,perception,Pc,4,abl_visual_color_discrimination,0.5058176461872181,1.5373432226574282,73.33735401725752,0.2549963096048131,0.03368074921352197
factor9,perception,Pc,4,skl_operations_monitoring,0.49446422262914663,1.3335670948321061,148.15074939523964,0.3257332737252011,0.07811375393992387
factor10,robustness,Rb,10,abl_stamina,0.7411443031301077,-0.25393143949142183,217.2665778071659,1,0.8915542953782725
factor10,robustness,Rb,10,abl_gross_body_coordination,0.7163155290279175,-0.18228697366455404,206.52842619948254,0.9645352447496974,0.8086814031680244
factor10,robustness,Rb,10,abl_gross_body_equilibrium,0.7144528395726745,0.20701116019065757,152.56308164270396,0.8207396919890232,0.5032536517937679
factor10,robustness,Rb,10,abl_dynamic_strength,0.6559121536885546,-0.18295741095818652,182.94271703840283,0.9425766785220981,0.7268457870451921
factor10,robustness,Rb,10,abl_static_strength,0.6375094401807626,-0.01841806128321355,321.1139688531305,0.8753249152296754,0.8304615216133
factor10,robustness,Rb,10,abl_extent_flexibility,0.6300306547910219,0.0518446941542815,354.1933601457238,0.8467461640625462,0.8161650968430929
factor10,robustness,Rb,10,abl_trunk_strength,0.627944174256115,-0.2114738661699756,196.0412424978038,0.9427783049968558,0.7527386540718374
factor10,robustness,Rb,10,abl_explosive_strength,0.603321088383042,0.4303012941784743,86.44051647144984,0.69780207408706,0.273825899710286
factor10,robustness,Rb,10,abl_speed_of_limb_movement,0.5326914671842575,0.2102266841837669,148.48915398068743,0.7527398988655062,0.4176270052837503
factor10,robustness,Rb,10,abl_dynamic_flexibility,0.40651175491210795,0.01986797557425446,19.412023886961496,0.7763328910671609,0.16061374780211218
factor11,mechanical_skills,Mc,5,skl_repairing,0.7577366906641276,0.5597856923133526,257.7544630183368,0.7069670928403511,0.4853475370679147
factor11,mechanical_skills,Mc,5,skl_equipment_maintenance,0.7436637731390007,0.4512873454880376,262.38377655007696,0.7416790475958711,0.5389541804543829
factor11,mechanical_skills,Mc,5,skl_equipment_selection,0.726976151204495,0.8166848584712079,185.01236068850713,0.6012198300491339,0.2973844803087986
factor11,mechanical_skills,Mc,5,skl_installation,0.6238680004526018,0.6359051040093837,97.24325441631625,0.6297728714676328,0.23656417417349862
factor11,mechanical_skills,Mc,5,skl_troubleshooting,0.5845612568067928,1.104653080787717,234.6264002956131,0.4430056775094674,0.18182699354908238
factor12,administrative_skills,Ad,4,knw_administrative,0.5579800268554684,0.05089247778893169,357.616810792223,0.8206095093085779,0.7702529820362218
factor12,administrative_skills,Ad,4,knw_computers_and_electronics,0.5421273954223801,0.9285361081815952,287.3788546483815,0.4921492413004545,0.24835469784466277
factor12,administrative_skills,Ad,4,knw_telecommunications,0.4368841211605035,1.13836203466365,119.99501477899042,0.37632590936396454,0.09383420440663147
factor12,administrative_skills,Ad,4,skl_reading_comprehension,0.43393002667180086,1.664027341837901,112.13513158594134,0.18199888443639003,0.021215810875017543
factor13,analytical_skills,An,4,skl_programming,0.5339104794860552,0.6985534823178428,90.00756888824601,0.5736730569333619,0.1888512036890726
factor13,analytical_skills,An,4,abl_inductive_reasoning,0.5326812406410049,1.848809323945557,78.62328098433333,0.15037291086828636,0.012127356093456443
factor13,analytical_skills,An,4,skl_operations_analysis,0.5217176770350404,1.6621980543774177,273.93522283647695,0.2149431783000254,0.046251157545965225
factor13,analytical_skills,An,4,abl_written_comprehension,0.3891862103552556,1.5374051561130075,91.7316361421926,0.21209838491441094,0.02606067304344986
factor14,dexterity,Dx,7,abl_arm_hand_steadiness,0.6673571713899331,-0.060807429599445406,223.68845648799712,0.9018801657483064,0.7358186532774244
factor14,dexterity,Dx,7,abl_manual_dexterity,0.6520212783449948,-0.21683594668789702,245.83384530449638,0.9536005130787698,0.8623928042782356
factor14,dexterity,Dx,7,abl_control_precision,0.646573476169803,0.23622556231566627,259.8408317178013,0.7850468238599064,0.6008916310592777
factor14,dexterity,Dx,7,abl_wrist_finger_speed,0.564907042959302,0.4954856969324054,142.89284714432304,0.6597180042285791,0.3146829788357977
factor14,dexterity,Dx,7,abl_finger_dexterity,0.5567688935462407,0.1432073516122686,117.45011473444202,0.7862281932572717,0.4052054552982785
factor14,dexterity,Dx,7,abl_multilimb_coordination,0.5257561977775812,0.30540559129731504,300.00613124945534,0.7152014656114868,0.5358869628692218
factor14,dexterity,Dx,7,skl_operation_and_control,0.4719908821964055,1.0110625720846467,268.8437339121523,0.43602844424165615,0.18855191028675444
